Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwJ5EzLdrJGM29xIt Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 519,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwJ5SzLdrJGM29xJg Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/discovery/AdsPlcDiscoverer.java - startLine: 219,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKSczLdrJGM29xwK Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 321,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwJy2zLdrJGM29xDR Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/readwrite/utils/StaticHelper.java - startLine: 75,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwJy2zLdrJGM29xDS Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/readwrite/utils/StaticHelper.java - startLine: 78,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxX Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 60,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxZ Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 63,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxa Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 65,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxb Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 71,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxd Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 74,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxe Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 76,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxf Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 82,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxh Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 85,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxi Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 87,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxj Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 93,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxl Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 96,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxm Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 98,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxn Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 101,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUqzLdrJGM29xxo Path: Analisi-1:plc4j/examples/plc4j-s7event/src/main/java/org/apache/plc4x/examples/plc4j/s7event/EventSubscription.java - startLine: 105,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUKzLdrJGM29xxK Path: Analisi-1:plc4j/examples/hello-discovery/src/main/java/org/apache/plc4x/java/examples/hellodiscovery/CliOptions.java - startLine: 59,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwJ84zLdrJGM29xbv Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/protocol/S7ProtocolEventLogic.java - startLine: 157,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwJ84zLdrJGM29xby Path: Analisi-1:plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/readwrite/protocol/S7ProtocolEventLogic.java - startLine: 206,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKQ4zLdrJGM29xtF Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/manual/ManualTest.java - startLine: 59,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKQ4zLdrJGM29xtG Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/manual/ManualTest.java - startLine: 122,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKQ4zLdrJGM29xtH Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/manual/ManualTest.java - startLine: 127,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKQ4zLdrJGM29xtI Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/manual/ManualTest.java - startLine: 129,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKQ4zLdrJGM29xtK Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/manual/ManualTest.java - startLine: 170,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKOVzLdrJGM29xrk Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java - startLine: 93,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKOVzLdrJGM29xri Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java - startLine: 87,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKOVzLdrJGM29xrj Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java - startLine: 90,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKU1zLdrJGM29xxr Path: Analisi-1:plc4j/examples/hello-webservice/src/main/java/org/apache/plc4x/java/examples/hellowebservice/CliOptions.java - startLine: 70,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTTzLdrJGM29xwl Path: Analisi-1:plc4j/examples/hello-world-plc4x-write/src/main/java/org/apache/plc4x/java/examples/helloplc4x/write/CliOptions.java - startLine: 70,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKKEzLdrJGM29xni Path: Analisi-1:plc4j/tools/capture-replay/src/main/java/org/apache/plc4x/java/utils/capturereplay/CliOptions.java - startLine: 85,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUYzLdrJGM29xxQ Path: Analisi-1:plc4j/examples/hello-influx-data-collection/src/main/java/org/apache/plc4x/java/examples/helloinflux/HelloInflux.java - startLine: 151,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwJylzLdrJGM29xCm Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/utils/KnxHelper.java - startLine: 67,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTnzLdrJGM29xw5 Path: Analisi-1:plc4j/examples/poll-loop/src/main/java/org/apache/plc4x/java/examples/pollloop/PollLoop.java - startLine: 217,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUQzLdrJGM29xxL Path: Analisi-1:plc4j/examples/hello-cloud-azure/src/main/java/org/apache/plc4x/java/examples/cloud/azure/CliOptions.java - startLine: 70,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKS8zLdrJGM29xwZ Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/CliOptions.java - startLine: 156,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKU6zLdrJGM29xxs Path: Analisi-1:plc4j/examples/hello-world-plc4x-read/src/main/java/org/apache/plc4x/java/examples/helloplc4x/read/CliOptions.java - startLine: 60,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKT6zLdrJGM29xw7 Path: Analisi-1:plc4j/examples/hello-world-plc4x-subscribe/src/main/java/org/apache/plc4x/java/examples/helloplc4x/subscribe/CliOptions.java - startLine: 60,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUfzLdrJGM29xxR Path: Analisi-1:plc4j/examples/hello-opm/src/main/java/org/apache/plc4x/java/examples/helloopm/HelloOpm.java - startLine: 73,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKUfzLdrJGM29xxS Path: Analisi-1:plc4j/examples/hello-opm/src/main/java/org/apache/plc4x/java/examples/helloopm/HelloOpm.java - startLine: 88,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTizLdrJGM29xwm Path: Analisi-1:plc4j/examples/hello-connectivity-mqtt/src/main/java/org/apache/plc4x/java/examples/connectivity/mqtt/MqttConnector.java - startLine: 90,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTjzLdrJGM29xwn Path: Analisi-1:plc4j/examples/hello-connectivity-mqtt/src/main/java/org/apache/plc4x/java/examples/connectivity/mqtt/MqttConnector.java - startLine: 118,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTjzLdrJGM29xwo Path: Analisi-1:plc4j/examples/hello-connectivity-mqtt/src/main/java/org/apache/plc4x/java/examples/connectivity/mqtt/MqttConnector.java - startLine: 119,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTjzLdrJGM29xwp Path: Analisi-1:plc4j/examples/hello-connectivity-mqtt/src/main/java/org/apache/plc4x/java/examples/connectivity/mqtt/MqttConnector.java - startLine: 122,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTjzLdrJGM29xwr Path: Analisi-1:plc4j/examples/hello-connectivity-mqtt/src/main/java/org/apache/plc4x/java/examples/connectivity/mqtt/MqttConnector.java - startLine: 147,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTAzLdrJGM29xwg Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java - startLine: 252,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTAzLdrJGM29xwa Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java - startLine: 111,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTAzLdrJGM29xwe Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java - startLine: 211,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTAzLdrJGM29xwf Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java - startLine: 214,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTAzLdrJGM29xwh Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java - startLine: 266,
To-Do,New,Normal,"java:S106: ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKTAzLdrJGM29xwi Path: Analisi-1:plc4j/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java - startLine: 283,
